lang,seamlessm4t,whisper,seamlessm4t_train,whisper_train,seamlessm4t_test,whisper_test,seamlessm4t_dev,whisper_dev
ell_Grek,27.432687989754836,20.397607953545133,27.471499332389897,20.095646435425763,26.907160159304308,21.266571613172847,27.49789721183428,21.434537548984668
lin_Latn,1.5385148977607415,0.5173099142007059,1.5497588808190064,0.5403856451495892,1.3048632513345624,0.3954291255071226,1.8531922860532952,0.4455201983118005
nob_Latn,34.71008093587275,29.7808083168866,34.57765034697408,29.62906223408304,35.060380131445335,30.977003866961944,33.933359350645006,28.9562153818302
mlt_Latn,39.6932747436842,10.983469010062809,39.49531519602511,11.200736827682604,40.294317988119474,10.639714819027008,40.122904054343074,9.714567916223114
gaz_Latn,0.7314899972871213,0.3062305667931998,0.7439764811458727,0.3127386213332805,0.5649615407355593,0.2064919850128491,0.7022545203233144,0.28460446594411276
ben_Beng,26.94931477909616,7.516348736982011,26.92806154847584,7.206088552969242,26.190647883258144,7.552948767484716,29.03991553602279,11.487483751388085
khk_Cyrl,18.110097053837457,0.8154387468244229,17.532474742548736,0.8605098560163438,19.865855123855155,0.7881700861074074,19.564544254040896,0.4767379521362916
ceb_Latn,9.06960652231137,6.081701189653125,9.039829435458348,5.745296835112644,8.700315634638411,7.047091452785909,10.296748788525575,7.786114056270193
kaz_Cyrl,24.624582839749664,3.66139963848249,24.81231188289436,3.9421017492151615,23.65953740628168,3.3029696622797684,24.530898093841653,2.3356486843115096
kea_Latn,28.574657955528668,25.612968759810958,28.500669623348447,25.357346199119117,28.60073194347585,25.27876617956914,29.198143838001883,28.992992080941665
slk_Latn,33.08906624456402,24.85236170786014,33.038752808331616,24.838583093510472,33.17322724946122,23.898683803101203,33.28860526609819,27.33874564520613
pan_Guru,29.879295219354184,12.74235343537476,30.68604071677672,13.24938488976063,27.35344119603886,11.245620541210233,27.224612883181535,11.723694089616073
ory_Orya,27.000489611559374,5.4772260259041525,27.4893554724777,6.207469256752882,25.637571865694323,4.811791050088002,27.536117616361363,3.776854501206774
por_Latn,38.57310395739618,36.8561117385155,38.807659514957486,36.80458061597742,37.610855842652946,36.853997939084415,38.75396918819618,37.365609443287
nya_Latn,19.400616668879014,0.8605578168802596,19.295979673209807,0.8741053724452195,19.43229364491065,0.8475553892416275,19.873959859105828,0.7703123253252874
mri_Latn,1.2120572563799488,6.707955995035893,1.2166939317312566,6.768899517525792,1.2252591228371212,6.787308541690066,1.1226714749338682,5.807206868026912
