lang,train_whisper_asr_cer_mean,train_whisper_asr_cer_std,train_whisper_asr_wer_mean,train_whisper_asr_wer_std,train_seamlessm4t_asr_cer_mean,train_seamlessm4t_asr_cer_std,train_seamlessm4t_asr_wer_mean,train_seamlessm4t_asr_wer_std,dev_whisper_asr_cer_mean,dev_whisper_asr_cer_std,dev_whisper_asr_wer_mean,dev_whisper_asr_wer_std,dev_seamlessm4t_asr_cer_mean,dev_seamlessm4t_asr_cer_std,dev_seamlessm4t_asr_wer_mean,dev_seamlessm4t_asr_wer_std,test_whisper_asr_cer_mean,test_whisper_asr_cer_std,test_whisper_asr_wer_mean,test_whisper_asr_wer_std,test_seamlessm4t_asr_cer_mean,test_seamlessm4t_asr_cer_std,test_seamlessm4t_asr_wer_mean,test_seamlessm4t_asr_wer_std
nob_Latn,0.04752344607662125,0.056415085856425996,0.15210394140761985,0.11851592346739602,0.08922017460908226,0.10155116756560441,0.2505729515101084,0.1459140841951325,0.03574033922622271,0.03557390381137764,0.12398812275171735,0.09664040621062388,0.07531976160773322,0.07727123301043987,0.2536949016363886,0.12968894070239112,0.03750144175715474,0.0402586932033672,0.1285566391276033,0.1183998986706699,0.08532806237451343,0.10340922913226679,0.26628949063411506,0.17639072851064955
mlt_Latn,0.2555894191515064,0.22401790962406243,0.8385942630292293,0.3051696511038015,0.12510611364308635,0.1239073721295279,0.45322825375454256,0.21334235664989448,0.26415075300752655,0.16512992254148576,0.843626820836245,0.24333710108230297,0.10440965144137143,0.07956818569896278,0.41758214072646505,0.17196281278455464,0.2651782888440888,0.21342955851692644,0.845951906284848,0.26246085968983257,0.11344934388800215,0.0947311887438403,0.44488675442095016,0.17748869561162658
gaz_Latn,0.35955142236435067,0.12291607080791574,1.1410298275999107,0.21280195729976756,0.4815623648199912,0.3842469338119021,1.1508438975074426,0.7465374364386592,0.3103603609885237,0.06509179194018996,1.0404806231605674,0.14663869543102515,0.3643031118697615,0.09608697326105513,1.024399984073897,0.12820509949783607,0.3140169697324234,0.061592360519034314,1.0621329610623809,0.17580679727073897,0.4872754181148909,0.5371654415114048,1.1194253935103904,0.6777538127727545
ben_Beng,0.3463258712597638,0.24463045980843995,0.8113362524488661,0.19893412299833138,0.09292074499750785,0.057915870913024414,0.2973683381178491,0.1451430816506337,0.31546114399472724,0.28173506786098035,0.7829456228000417,0.15380147324995527,0.07366928350905856,0.049119971119481846,0.24348082088187634,0.13218979891747193,0.31986676561588123,0.3011965133115141,0.7902749991237937,0.25253168442504725,0.08327652388836365,0.0562819711888159,0.27468494821632655,0.14245541950199997
khk_Cyrl,0.388848281847888,0.3229146763377124,0.8832536079650298,0.2322574158694129,0.1619774693594754,0.20069965696139616,0.33873187204695676,0.2846738229644104,0.3444565796994876,0.07700346877788518,0.8770402755830327,0.10885891226839428,0.1038975583903301,0.09719566426779948,0.26499731328230675,0.15896275683877084,0.3569504054776474,0.168712392579646,0.8861283098964428,0.21898747887070097,0.11166975974835715,0.10143963967186667,0.2774777151602385,0.16151333822711025
ceb_Latn,0.17682246996994935,0.34631869905003004,0.5539936658895946,0.5508787775247904,0.193602099958123,0.0994045554070993,0.4910538586915921,0.1363027748566491,0.1436340045922096,0.3143924504264165,0.47574037730765856,0.4634118434447063,0.15929958877282652,0.0850802105301813,0.44642320168744826,0.13330091667956243,0.16774697175546682,0.4411665751961778,0.5039809323878258,0.507724484385421,0.18581807611615808,0.14955910752361784,0.4756705272115325,0.16256926697548715
kaz_Cyrl,0.08906759525364155,0.09084213796762533,0.3992113976901948,0.15616991735518415,0.09851843275960012,0.11902158324327158,0.3810669022363287,0.23529808946529307,0.0913716815260056,0.05256729234398253,0.41653376584092,0.15586304313838634,0.08207821474230487,0.07735347023065897,0.3653340146138355,0.16636645646881018,0.09096061178036301,0.06330456370432166,0.4123309613048148,0.15130439048797417,0.09081821111304102,0.09641646025726078,0.3800057382693455,0.18546586351564087
kea_Latn,0.3634128324843542,0.28023152194959133,0.9372640297332897,0.2744211702392661,0.3850694911470776,0.13331256958926585,0.9537813333033994,0.15031866570338925,0.3360956927616166,0.06568447442138521,0.9003142316683765,0.09836727295840002,0.35493581318526596,0.0899033015547164,0.9184216338845078,0.09952478810188037,0.34412806831285336,0.07621542424605256,0.9219023383818338,0.10246889407143912,0.37701669150599487,0.11997329883793639,0.9477710064742174,0.1260688807144891
slk_Latn,0.04152487796216283,0.043860662408449956,0.15595504359949883,0.11720392349401015,0.07574135808247077,0.11567230850785844,0.19030793274187566,0.13839857176358383,0.036068385955910345,0.0456483454974646,0.1277503667003923,0.11183700149880567,0.05605800703340668,0.08411814705643557,0.16658991613382962,0.12877349094470908,0.036161691082076494,0.05059766506133502,0.1314524962877593,0.10955006812677402,0.07233797109262491,0.12497118684792592,0.19056598297874489,0.16233359813246365
pan_Guru,0.42988632989620496,0.4275919025353286,0.9208575526080914,0.8657831700954167,0.09724336572938659,0.07713139808063467,0.2592737930571836,0.14005659297879355,0.4597712528800279,0.34892999217772225,0.9292785077476615,0.7238058563441723,0.11915536114997682,0.09344060387301113,0.3019504757451416,0.16574602928594154,0.4771250922073807,0.35629016124324325,0.984009961687716,0.8241000939356861,0.12261381885171987,0.07968213882445885,0.2951346976127925,0.136686575306344
ory_Orya,0.9333787734050535,0.11620614540240519,1.103875713793991,0.14682160601100142,0.1105719483655824,0.07184784798236095,0.41457613739546895,0.16612836554943075,0.9371986916964197,0.05227138639922499,1.1031981468246495,0.0994909588439805,0.11328574965585134,0.06643254726494208,0.41513998420405235,0.15446207218387764,0.9445317194393237,0.11498766430306122,1.1145594203522893,0.11832979516113559,0.12174366420087758,0.07461173769761187,0.4369891826160546,0.16312371459986372
